,establishment,type,month,value
742,Bishwavnathganj,Deletion,April,42.0
743,Bishwavnathganj,Deletion,May,11.0
744,Bishwavnathganj,Modification,March,213.0
745,Bishwavnathganj,Modification,April,171.0
746,Bishwavnathganj,Modification,May,158.0
747,Biswan,Addition,March,173.0
748,Biswan,Addition,April,169.0
749,Biswan,Addition,May,118.0
750,Biswan,Deletion,March,7.0
751,Biswan,Deletion,April,15.0
752,Biswan,Deletion,May,3.0
753,Biswan,Modification,March,100.0
754,Biswan,Modification,April,96.0
755,Biswan,Modification,May,71.0
756,Bithari Chainpur,Addition,March,390.0
757,Bithari Chainpur,Addition,April,436.0
758,Bithari Chainpur,Addition,May,426.0
759,Bithari Chainpur,Deletion,March,30.0
760,Bithari Chainpur,Deletion,April,67.0
761,Bithari Chainpur,Deletion,May,8.0
762,Bithari Chainpur,Modification,March,179.0
763,Bithari Chainpur,Modification,April,147.0
764,Bithari Chainpur,Modification,May,159.0
765,Bithoor,Addition,March,142.0
766,Bithoor,Addition,April,144.0
767,Bithoor,Addition,May,139.0
768,Bithoor,Deletion,March,5.0
769,Bithoor,Deletion,April,22.0
770,Bithoor,Deletion,May,7.0
771,Bithoor,Modification,March,70.0
772,Bithoor,Modification,April,44.0
773,Bithoor,Modification,May,44.0
774,Budhana,Addition,March,264.0
775,Budhana,Addition,April,174.0
776,Budhana,Addition,May,162.0
777,Budhana,Deletion,March,38.0
778,Budhana,Deletion,April,59.0
779,Budhana,Deletion,May,25.0
780,Budhana,Modification,March,249.0
781,Budhana,Modification,April,231.0
782,Budhana,Modification,May,197.0
783,Bulandshahr,Addition,March,160.0
784,Bulandshahr,Addition,April,134.0
785,Bulandshahr,Addition,May,141.0
786,Bulandshahr,Deletion,March,20.0
787,Bulandshahr,Deletion,April,100.0
788,Bulandshahr,Deletion,May,16.0
789,Bulandshahr,Modification,March,175.0
790,Bulandshahr,Modification,April,97.0
791,Bulandshahr,Modification,May,176.0
792,Caimpiyarganj,Addition,March,149.0
793,Caimpiyarganj,Addition,April,318.0
794,Caimpiyarganj,Addition,May,200.0
795,Caimpiyarganj,Deletion,March,6.0
796,Caimpiyarganj,Deletion,April,31.0
797,Caimpiyarganj,Deletion,May,8.0
798,Caimpiyarganj,Modification,March,116.0
799,Caimpiyarganj,Modification,April,158.0
800,Caimpiyarganj,Modification,May,137.0
801,Chail,Addition,March,572.0
802,Chail,Addition,April,283.0
803,Chail,Addition,May,135.0
804,Chail,Deletion,March,10.0
805,Chail,Deletion,April,28.0
806,Chail,Deletion,May,6.0
807,Chail,Modification,March,146.0
808,Chail,Modification,April,191.0
809,Chail,Modification,May,192.0
810,Chakia,Addition,March,327.0
811,Chakia,Addition,April,347.0
812,Chakia,Addition,May,473.0
813,Chakia,Deletion,March,34.0
814,Chakia,Deletion,April,22.0
815,Chakia,Deletion,May,24.0
816,Chakia,Modification,March,174.0
817,Chakia,Modification,April,164.0
818,Chakia,Modification,May,210.0
819,Chamraua,Addition,March,289.0
820,Chamraua,Addition,April,195.0
821,Chamraua,Addition,May,226.0
822,Chamraua,Deletion,March,10.0
823,Chamraua,Deletion,April,38.0
824,Chamraua,Deletion,May,22.0
825,Chamraua,Modification,March,142.0
826,Chamraua,Modification,April,125.0
827,Chamraua,Modification,May,147.0
828,Chandausi,Addition,March,128.0
829,Chandausi,Addition,April,160.0
830,Chandausi,Addition,May,157.0
831,Chandausi,Deletion,March,22.0
832,Chandausi,Deletion,April,44.0
833,Chandausi,Deletion,May,9.0
834,Chandausi,Modification,March,71.0
835,Chandausi,Modification,April,96.0
836,Chandpur,Addition,March,251.0
837,Chandpur,Addition,April,209.0
838,Chandpur,Addition,May,283.0
839,Chandpur,Deletion,March,23.0
840,Chandpur,Deletion,April,42.0
841,Chandpur,Deletion,May,17.0
842,Chandpur,Modification,March,183.0
843,Chandpur,Modification,April,189.0
844,Chandpur,Modification,May,177.0
845,Charkhari,Addition,March,249.0
846,Charkhari,Addition,April,277.0
847,Charkhari,Addition,May,217.0
848,Charkhari,Deletion,March,13.0
849,Charkhari,Deletion,April,41.0
850,Charkhari,Deletion,May,6.0
851,Charkhari,Modification,March,225.0
852,Charkhari,Modification,April,194.0
853,Charkhari,Modification,May,131.0
854,Charthawal,Addition,March,330.0
855,Charthawal,Addition,April,190.0
856,Charthawal,Addition,May,218.0
857,Charthawal,Deletion,March,114.0
858,Charthawal,Deletion,April,41.0
859,Charthawal,Deletion,May,11.0
860,Charthawal,Modification,March,247.0
861,Charthawal,Modification,April,162.0
862,Charthawal,Modification,May,97.0
863,Chauri-Chaura,Addition,March,575.0
864,Chauri-Chaura,Addition,April,225.0
865,Chauri-Chaura,Addition,May,186.0
866,Chauri-Chaura,Deletion,March,9.0
867,Chauri-Chaura,Deletion,April,28.0
868,Chauri-Chaura,Deletion,May,7.0
869,Chauri-Chaura,Modification,March,404.0
870,Chauri-Chaura,Modification,April,200.0
871,Chauri-Chaura,Modification,May,112.0
872,Chhanbey,Addition,March,346.0
873,Chhanbey,Addition,April,197.0
874,Chhanbey,Addition,May,157.0
875,Chhanbey,Deletion,March,10.0
876,Chhanbey,Deletion,April,12.0
877,Chhanbey,Deletion,May,10.0
878,Chhanbey,Modification,March,155.0
879,Chhanbey,Modification,April,135.0
880,Chhanbey,Modification,May,96.0
881,Chhaprauli,Addition,March,210.0
882,Chhaprauli,Addition,April,176.0
883,Chhaprauli,Addition,May,153.0
884,Chhaprauli,Deletion,March,33.0
885,Chhaprauli,Deletion,April,45.0
886,Chhaprauli,Deletion,May,21.0
887,Chhaprauli,Modification,March,223.0
888,Chhaprauli,Modification,April,178.0
889,Chhaprauli,Modification,May,169.0
890,Chharra,Addition,March,295.0
891,Chharra,Addition,April,180.0
892,Chharra,Addition,May,248.0
893,Chharra,Deletion,March,21.0
894,Chharra,Deletion,April,63.0
895,Chharra,Deletion,May,56.0
896,Chharra,Modification,March,216.0
897,Chharra,Modification,April,107.0
898,Chharra,Modification,May,136.0
899,Chhata,Addition,March,194.0
900,Chhata,Addition,April,117.0
901,Chhata,Addition,May,97.0
902,Chhata,Deletion,March,25.0
903,Chhata,Deletion,April,58.0
904,Chhata,Deletion,May,18.0
905,Chhata,Modification,March,141.0
906,Chhata,Modification,April,98.0
907,Chhata,Modification,May,70.0
908,Chhibramau,Addition,March,266.0
909,Chhibramau,Addition,April,236.0
910,Chhibramau,Addition,May,242.0
911,Chhibramau,Deletion,March,17.0
912,Chhibramau,Deletion,April,67.0
913,Chhibramau,Deletion,May,24.0
914,Chhibramau,Modification,March,118.0
915,Chhibramau,Modification,April,173.0
916,Chhibramau,Modification,May,116.0
917,Chillupar,Addition,March,308.0
918,Chillupar,Addition,April,230.0
919,Chillupar,Addition,May,157.0
920,Chillupar,Deletion,March,102.0
921,Chillupar,Deletion,April,57.0
922,Chillupar,Deletion,May,7.0
923,Chillupar,Modification,March,183.0
924,Chillupar,Modification,April,231.0
925,Chillupar,Modification,May,189.0
926,Chitrakoot,Addition,March,115.0
927,Chitrakoot,Addition,April,183.0
928,Chitrakoot,Addition,May,113.0
929,Chitrakoot,Deletion,March,19.0
930,Chitrakoot,Deletion,April,30.0
931,Chitrakoot,Deletion,May,5.0
932,Chitrakoot,Modification,March,174.0
933,Chitrakoot,Modification,April,164.0
934,Chitrakoot,Modification,May,166.0
935,Chunar,Addition,March,462.0
936,Chunar,Addition,April,221.0
937,Chunar,Addition,May,217.0
938,Chunar,Deletion,March,12.0
939,Chunar,Deletion,April,27.0
940,Chunar,Deletion,May,10.0
941,Chunar,Modification,March,271.0
942,Chunar,Modification,April,166.0
943,Chunar,Modification,May,121.0
944,Colonelganj,Addition,March,325.0
945,Colonelganj,Addition,April,228.0
946,Colonelganj,Addition,May,268.0
947,Colonelganj,Deletion,March,111.0
948,Colonelganj,Deletion,April,24.0
949,Colonelganj,Deletion,May,10.0
950,Colonelganj,Modification,March,101.0
951,Colonelganj,Modification,April,103.0
952,Colonelganj,Modification,May,78.0
953,Dadraul,Addition,March,374.0
954,Dadraul,Addition,April,342.0
955,Dadraul,Addition,May,310.0
956,Dadraul,Deletion,March,13.0
957,Dadraul,Deletion,April,55.0
958,Dadraul,Deletion,May,6.0
959,Dadraul,Modification,March,118.0
960,Dadraul,Modification,April,104.0
961,Dadraul,Modification,May,89.0
962,Dadri,Addition,March,973.0
963,Dadri,Addition,April,570.0
964,Dadri,Addition,May,362.0
965,Dadri,Deletion,March,213.0
966,Dadri,Deletion,April,1073.0
967,Dadri,Deletion,May,89.0
968,Dadri,Modification,March,357.0
969,Dadri,Modification,April,420.0
970,Dadri,Modification,May,309.0
971,Dariyabad,Addition,March,209.0
972,Dariyabad,Addition,April,156.0
973,Dariyabad,Addition,May,167.0
974,Dariyabad,Deletion,March,40.0
975,Dariyabad,Deletion,April,18.0
976,Dariyabad,Deletion,May,10.0
977,Dariyabad,Modification,March,83.0
978,Dariyabad,Modification,April,135.0
979,Dariyabad,Modification,May,85.0
980,Dataganj,Addition,March,389.0
981,Dataganj,Addition,April,340.0
982,Dataganj,Addition,May,284.0
983,Dataganj,Deletion,March,12.0
984,Dataganj,Deletion,April,17.0
985,Dataganj,Deletion,May,10.0
986,Dataganj,Modification,March,96.0
987,Dataganj,Modification,April,141.0
988,Dataganj,Modification,May,100.0
989,Debai,Addition,March,221.0
990,Debai,Addition,April,218.0
991,Debai,Addition,May,181.0
992,Debai,Deletion,March,12.0
993,Debai,Deletion,April,94.0
994,Debai,Deletion,May,34.0
995,Debai,Modification,March,141.0
996,Debai,Modification,April,163.0
997,Debai,Modification,May,118.0
998,Deoband,Addition,March,475.0
999,Deoband,Addition,April,347.0
1000,Deoband,Addition,May,281.0
1001,Deoband,Deletion,March,17.0
1002,Deoband,Deletion,April,44.0
1003,Deoband,Deletion,May,20.0
1004,Deoband,Modification,March,298.0
1005,Deoband,Modification,April,221.0
1006,Deoband,Modification,May,206.0
1007,Deoria,Addition,March,341.0
1008,Deoria,Addition,April,437.0
1009,Deoria,Addition,May,322.0
1010,Deoria,Deletion,March,48.0
1011,Deoria,Deletion,April,90.0
1012,Deoria,Deletion,May,14.0
1013,Deoria,Modification,March,167.0
1014,Deoria,Modification,April,275.0
1015,Deoria,Modification,May,170.0
1016,Dhampur,Addition,March,116.0
1017,Dhampur,Addition,April,146.0
1018,Dhampur,Addition,May,119.0
1019,Dhampur,Deletion,March,30.0
1020,Dhampur,Deletion,April,68.0
1021,Dhampur,Deletion,May,16.0
1022,Dhampur,Modification,March,162.0
1023,Dhampur,Modification,April,145.0
1024,Dhampur,Modification,May,155.0
1025,Dhanaura,Addition,March,264.0
1026,Dhanaura,Addition,April,274.0
1027,Dhanaura,Addition,May,238.0
1028,Dhanaura,Deletion,March,74.0
1029,Dhanaura,Deletion,April,23.0
1030,Dhanaura,Deletion,May,17.0
1031,Dhanaura,Modification,March,128.0
1032,Dhanaura,Modification,April,130.0
1033,Dhanaura,Modification,May,131.0
1034,Dhanghata,Addition,March,395.0
1035,Dhanghata,Addition,April,324.0
1036,Dhanghata,Addition,May,316.0
1037,Dhanghata,Deletion,March,17.0
1038,Dhanghata,Deletion,April,28.0
1039,Dhanghata,Deletion,May,6.0
1040,Dhanghata,Modification,March,166.0
1041,Dhanghata,Modification,April,172.0
1042,Dhanghata,Modification,May,153.0
1043,Dhaurahra,Addition,March,104.0
1044,Dhaurahra,Addition,April,113.0
1045,Dhaurahra,Addition,May,98.0
1046,Dhaurahra,Deletion,March,2.0
1047,Dhaurahra,Deletion,April,8.0
1048,Dhaurahra,Deletion,May,6.0
1049,Dhaurahra,Modification,March,55.0
1050,Dhaurahra,Modification,April,54.0
1051,Dhaurahra,Modification,May,38.0
1052,Dholana,Addition,March,394.0
1053,Dholana,Addition,April,360.0
1054,Dholana,Addition,May,344.0
1055,Dholana,Deletion,March,41.0
1056,Dholana,Deletion,April,70.0
1057,Dholana,Deletion,May,16.0
1058,Dholana,Modification,March,317.0
1059,Dholana,Modification,April,225.0
1060,Dholana,Modification,May,236.0
1061,Dibiyapur,Addition,March,32.0
1062,Dibiyapur,Addition,April,45.0
1063,Dibiyapur,Addition,May,47.0
1064,Dibiyapur,Deletion,March,20.0
1065,Dibiyapur,Deletion,April,29.0
1066,Dibiyapur,Deletion,May,6.0
1067,Dibiyapur,Modification,March,47.0
1068,Dibiyapur,Modification,April,44.0
1069,Dibiyapur,Modification,May,51.0
1070,Didarganj,Addition,March,197.0
1071,Didarganj,Addition,April,153.0
1072,Didarganj,Addition,May,153.0
1073,Didarganj,Deletion,March,20.0
1074,Didarganj,Deletion,April,35.0
1075,Didarganj,Deletion,May,6.0
1076,Didarganj,Modification,March,177.0
1077,Didarganj,Modification,April,105.0
1078,Didarganj,Modification,May,89.0
1079,Doomariyaganj,Addition,March,236.0
1080,Doomariyaganj,Addition,April,131.0
1081,Doomariyaganj,Addition,May,132.0
1082,Doomariyaganj,Deletion,March,14.0
1083,Doomariyaganj,Deletion,April,25.0
1084,Doomariyaganj,Deletion,May,6.0
1085,Doomariyaganj,Modification,March,215.0
1086,Doomariyaganj,Modification,April,194.0
1087,Doomariyaganj,Modification,May,203.0
1088,Duddhi,Addition,March,629.0
1089,Duddhi,Addition,April,305.0
1090,Duddhi,Addition,May,221.0
1091,Duddhi,Deletion,March,178.0
1092,Duddhi,Deletion,April,43.0
1093,Duddhi,Deletion,May,10.0
1094,Duddhi,Modification,March,340.0
1095,Duddhi,Modification,April,122.0
1096,Duddhi,Modification,May,95.0
1097,Etah,Addition,March,130.0
1098,Etah,Addition,April,100.0
1099,Etah,Addition,May,105.0
1100,Etah,Deletion,March,20.0
1101,Etah,Deletion,April,35.0
1102,Etah,Deletion,May,45.0
1103,Etah,Modification,March,74.0
1104,Etah,Modification,April,89.0
1105,Etah,Modification,May,86.0
1106,Etawah,Addition,March,275.0
1107,Etawah,Addition,April,236.0
1108,Etawah,Addition,May,273.0
1109,Etawah,Deletion,March,40.0
1110,Etawah,Deletion,April,74.0
1111,Etawah,Deletion,May,26.0
1112,Etawah,Modification,March,151.0
1113,Etawah,Modification,April,202.0
1114,Etawah,Modification,May,172.0
1115,Etmadpur,Addition,March,464.0
1116,Etmadpur,Addition,April,433.0
1117,Etmadpur,Addition,May,143.0
1118,Etmadpur,Deletion,March,34.0
1119,Etmadpur,Deletion,April,59.0
1120,Etmadpur,Deletion,May,17.0
1121,Etmadpur,Modification,March,218.0
1122,Etmadpur,Modification,April,251.0
1123,Etmadpur,Modification,May,76.0
1124,Faridpur,Addition,March,268.0
1125,Faridpur,Addition,April,307.0
1126,Faridpur,Addition,May,218.0
1127,Faridpur,Deletion,March,12.0
1128,Faridpur,Deletion,April,24.0
1129,Faridpur,Deletion,May,7.0
1130,Faridpur,Modification,March,131.0
1131,Faridpur,Modification,April,114.0
1132,Faridpur,Modification,May,99.0
1133,Farrukhabad,Addition,March,237.0
1134,Farrukhabad,Addition,April,191.0
1135,Farrukhabad,Addition,May,176.0
1136,Farrukhabad,Deletion,March,35.0
1137,Farrukhabad,Deletion,April,34.0
1138,Farrukhabad,Deletion,May,3.0
1139,Farrukhabad,Modification,March,102.0
1140,Farrukhabad,Modification,April,93.0
1141,Farrukhabad,Modification,May,112.0
1142,Fatehabad,Addition,March,279.0
1143,Fatehabad,Addition,April,265.0
1144,Fatehabad,Addition,May,309.0
1145,Fatehabad,Deletion,March,34.0
1146,Fatehabad,Deletion,April,49.0
1147,Fatehabad,Deletion,May,21.0
1148,Fatehabad,Modification,March,136.0
1149,Fatehabad,Modification,April,140.0
1150,Fatehabad,Modification,May,141.0
1151,Fatehpur,Addition,March,293.0
1152,Fatehpur,Addition,April,218.0
1153,Fatehpur,Addition,May,267.0
1154,Fatehpur,Deletion,March,27.0
1155,Fatehpur,Deletion,April,20.0
1156,Fatehpur,Deletion,May,74.0
1157,Fatehpur,Modification,March,105.0
1158,Fatehpur,Modification,April,81.0
1159,Fatehpur,Modification,May,132.0
1160,Fatehpur Sikri,Addition,March,118.0
1161,Fatehpur Sikri,Addition,April,163.0
1162,Fatehpur Sikri,Addition,May,92.0
1163,Fatehpur Sikri,Deletion,March,14.0
1164,Fatehpur Sikri,Deletion,April,42.0
1165,Fatehpur Sikri,Deletion,May,9.0
1166,Fatehpur Sikri,Modification,March,129.0
1167,Fatehpur Sikri,Modification,April,130.0
1168,Fatehpur Sikri,Modification,May,72.0
1169,Fazilnagar,Addition,March,184.0
1170,Fazilnagar,Addition,April,185.0
1171,Fazilnagar,Addition,May,148.0
1172,Fazilnagar,Deletion,March,12.0
1173,Fazilnagar,Deletion,April,25.0
1174,Fazilnagar,Deletion,May,3.0
1175,Fazilnagar,Modification,March,71.0
1176,Fazilnagar,Modification,April,80.0
1177,Fazilnagar,Modification,May,94.0
1178,Firozabad,Addition,March,438.0
1179,Firozabad,Addition,April,410.0
1180,Firozabad,Addition,May,273.0
1181,Firozabad,Deletion,March,88.0
1182,Firozabad,Deletion,April,107.0
1183,Firozabad,Deletion,May,18.0
1184,Firozabad,Modification,March,384.0
1185,Firozabad,Modification,April,237.0
1186,Firozabad,Modification,May,149.0
1187,Gainsari,Addition,March,383.0
1188,Gainsari,Addition,April,284.0
1189,Gainsari,Addition,May,258.0
1190,Gainsari,Deletion,March,10.0
1191,Gainsari,Deletion,April,22.0
1192,Gainsari,Deletion,May,5.0
1193,Gainsari,Modification,March,136.0
1194,Gainsari,Modification,April,170.0
1195,Gainsari,Modification,May,131.0
1196,Gangoh,Addition,March,333.0
1197,Gangoh,Addition,April,332.0
1198,Gangoh,Addition,May,352.0
1199,Gangoh,Deletion,March,126.0
1200,Gangoh,Deletion,April,53.0
1201,Gangoh,Deletion,May,45.0
1202,Gangoh,Modification,March,270.0
1203,Gangoh,Modification,April,316.0
1204,Gangoh,Modification,May,236.0
1205,Garautha,Addition,March,325.0
1206,Garautha,Addition,April,286.0
1207,Garautha,Addition,May,269.0
1208,Garautha,Deletion,March,23.0
1209,Garautha,Deletion,April,30.0
1210,Garautha,Deletion,May,43.0
1211,Garautha,Modification,March,121.0
1212,Garautha,Modification,April,123.0
1213,Garautha,Modification,May,109.0
1214,Garhmukteshwar,Addition,March,439.0
1215,Garhmukteshwar,Addition,April,364.0
1216,Garhmukteshwar,Addition,May,195.0
1217,Garhmukteshwar,Deletion,March,81.0
1218,Garhmukteshwar,Deletion,April,169.0
1219,Garhmukteshwar,Deletion,May,195.0
1220,Garhmukteshwar,Modification,March,404.0
1221,Garhmukteshwar,Modification,April,221.0
1222,Garhmukteshwar,Modification,May,307.0
1223,Gaura,Addition,March,710.0
1224,Gaura,Addition,April,55.0
1225,Gaura,Addition,May,17.0
1226,Gaura,Deletion,March,27.0
1227,Gaura,Deletion,April,48.0
1228,Gaura,Deletion,May,2.0
1229,Gaura,Modification,March,488.0
1230,Gaura,Modification,April,106.0
1231,Gaura,Modification,May,46.0
1232,Gauriganj,Addition,March,218.0
1233,Gauriganj,Addition,April,162.0
1234,Gauriganj,Addition,May,159.0
1235,Gauriganj,Deletion,March,32.0
1236,Gauriganj,Deletion,April,110.0
1237,Gauriganj,Deletion,May,31.0
1238,Gauriganj,Modification,March,118.0
1239,Gauriganj,Modification,April,94.0
1240,Gauriganj,Modification,May,86.0
1241,Ghatampur,Addition,March,110.0
1242,Ghatampur,Addition,April,1333.0
1243,Ghatampur,Addition,May,571.0
1244,Ghatampur,Deletion,March,7.0
1245,Ghatampur,Deletion,April,203.0
1246,Ghatampur,Deletion,May,70.0
1247,Ghatampur,Modification,March,58.0
1248,Ghatampur,Modification,April,137.0
1249,Ghatampur,Modification,May,107.0
1250,Ghaziabad,Addition,March,626.0
1251,Ghaziabad,Addition,April,517.0
1252,Ghaziabad,Addition,May,579.0
1253,Ghaziabad,Deletion,March,101.0
1254,Ghaziabad,Deletion,April,427.0
1255,Ghaziabad,Deletion,May,93.0
1256,Ghaziabad,Modification,March,346.0
1257,Ghaziabad,Modification,April,232.0
1258,Ghaziabad,Modification,May,243.0
1259,Ghazipur,Addition,March,90.0
1260,Ghazipur,Addition,April,32.0
1261,Ghazipur,Addition,May,53.0
1262,Ghazipur,Deletion,March,11.0
1263,Ghazipur,Deletion,April,41.0
1264,Ghazipur,Deletion,May,17.0
1265,Ghazipur,Modification,March,88.0
1266,Ghazipur,Modification,April,104.0
1267,Ghazipur,Modification,May,122.0
1268,Ghorawal,Addition,March,590.0
1269,Ghorawal,Addition,April,678.0
1270,Ghorawal,Addition,May,292.0
1271,Ghorawal,Deletion,March,12.0
1272,Ghorawal,Deletion,April,82.0
1273,Ghorawal,Deletion,May,5.0
1274,Ghorawal,Modification,March,110.0
1275,Ghorawal,Modification,April,174.0
1276,Ghorawal,Modification,May,102.0
1277,Ghosi,Addition,March,277.0
1278,Ghosi,Addition,April,236.0
1279,Ghosi,Addition,May,233.0
1280,Ghosi,Deletion,March,23.0
1281,Ghosi,Deletion,April,20.0
1282,Ghosi,Deletion,May,6.0
1283,Ghosi,Modification,March,183.0
1284,Ghosi,Modification,April,174.0
1285,Ghosi,Modification,May,170.0
1286,Gola Gokrannath,Addition,March,140.0
1287,Gola Gokrannath,Addition,April,84.0
1288,Gola Gokrannath,Addition,May,62.0
1289,Gola Gokrannath,Deletion,March,17.0
1290,Gola Gokrannath,Deletion,April,10.0
1291,Gola Gokrannath,Deletion,May,24.0
1292,Gola Gokrannath,Modification,March,114.0
1293,Gola Gokrannath,Modification,April,85.0
1294,Gola Gokrannath,Modification,May,59.0
1295,Gonda,Addition,March,330.0
1296,Gonda,Addition,April,213.0
1297,Gonda,Addition,May,163.0
1298,Gonda,Deletion,March,18.0
1299,Gonda,Deletion,April,33.0
1300,Gonda,Deletion,May,5.0
1301,Gonda,Modification,March,232.0
1302,Gonda,Modification,April,164.0
1303,Gonda,Modification,May,196.0
1304,Gopalpur,Addition,March,159.0
1305,Gopalpur,Addition,April,166.0
1306,Gopalpur,Addition,May,155.0
1307,Gopalpur,Deletion,March,13.0
1308,Gopalpur,Deletion,April,40.0
1309,Gopalpur,Deletion,May,6.0
1310,Gopalpur,Modification,March,172.0
1311,Gopalpur,Modification,April,160.0
1312,Gopalpur,Modification,May,140.0
1313,Gopamau,Addition,March,52.0
1314,Gopamau,Addition,April,87.0
1315,Gopamau,Addition,May,92.0
1316,Gopamau,Deletion,March,36.0
1317,Gopamau,Deletion,April,315.0
1318,Gopamau,Deletion,May,35.0
1319,Gopamau,Modification,March,64.0
1320,Gopamau,Modification,April,84.0
1321,Gopamau,Modification,May,61.0
1322,Gorakhpur Rural,Addition,March,389.0
1323,Gorakhpur Rural,Addition,April,407.0
1324,Gorakhpur Rural,Addition,May,236.0
1325,Gorakhpur Rural,Deletion,March,25.0
1326,Gorakhpur Rural,Deletion,April,64.0
1327,Gorakhpur Rural,Deletion,May,22.0
1328,Gorakhpur Rural,Modification,March,259.0
1329,Gorakhpur Rural,Modification,April,317.0
1330,Gorakhpur Rural,Modification,May,134.0
1331,Gorakhpur Urban,Addition,March,473.0
1332,Gorakhpur Urban,Addition,April,627.0
1333,Gorakhpur Urban,Addition,May,614.0
1334,Gorakhpur Urban,Deletion,March,17.0
1335,Gorakhpur Urban,Deletion,April,125.0
1336,Gorakhpur Urban,Deletion,May,47.0
1337,Gorakhpur Urban,Modification,March,326.0
1338,Gorakhpur Urban,Modification,April,323.0
1339,Gorakhpur Urban,Modification,May,466.0
1340,Goshainganj,Addition,March,346.0
1341,Goshainganj,Addition,April,253.0
1342,Goshainganj,Addition,May,297.0
1343,Goshainganj,Deletion,March,15.0
1344,Goshainganj,Deletion,April,25.0
1345,Goshainganj,Deletion,May,46.0
1346,Goshainganj,Modification,March,159.0
1347,Goshainganj,Modification,April,156.0
1348,Goshainganj,Modification,May,147.0
1349,Goverdhan,Addition,March,251.0
1350,Goverdhan,Addition,April,205.0
1351,Goverdhan,Addition,May,174.0
1352,Goverdhan,Deletion,March,16.0
1353,Goverdhan,Deletion,April,44.0
1354,Goverdhan,Deletion,May,13.0
1355,Goverdhan,Modification,March,214.0
1356,Goverdhan,Modification,April,132.0
1357,Goverdhan,Modification,May,142.0
1358,Govindnagar,Addition,March,377.0
1359,Govindnagar,Addition,April,158.0
1360,Govindnagar,Addition,May,167.0
1361,Govindnagar,Deletion,March,48.0
1362,Govindnagar,Deletion,April,161.0
1363,Govindnagar,Deletion,May,18.0
1364,Govindnagar,Modification,March,130.0
1365,Govindnagar,Modification,April,146.0
1366,Govindnagar,Modification,May,100.0
1367,Gunnaur,Addition,March,560.0
1368,Gunnaur,Addition,April,705.0
1369,Gunnaur,Addition,May,245.0
1370,Gunnaur,Deletion,March,98.0
1371,Gunnaur,Deletion,April,55.0
1372,Gunnaur,Deletion,May,77.0
1373,Gunnaur,Modification,March,171.0
1374,Gunnaur,Modification,April,104.0
1375,Gunnaur,Modification,May,73.0
1376,Gyanpur,Addition,March,540.0
1377,Gyanpur,Addition,April,393.0
1378,Gyanpur,Addition,May,356.0
1379,Gyanpur,Deletion,March,25.0
1380,Gyanpur,Deletion,April,46.0
1381,Gyanpur,Deletion,May,16.0
1382,Gyanpur,Modification,March,231.0
1383,Gyanpur,Modification,April,228.0
1384,Gyanpur,Modification,May,195.0
1385,Haidergarh,Addition,March,45.0
1386,Haidergarh,Addition,April,93.0
1387,Haidergarh,Addition,May,57.0
1388,Haidergarh,Deletion,March,8.0
1389,Haidergarh,Deletion,April,8.0
1390,Haidergarh,Deletion,May,5.0
1391,Haidergarh,Modification,March,59.0
1392,Haidergarh,Modification,April,56.0
1393,Haidergarh,Modification,May,48.0
1394,Hamirpur,Addition,March,177.0
1395,Hamirpur,Addition,April,214.0
1396,Hamirpur,Addition,May,162.0
1397,Hamirpur,Deletion,March,23.0
1398,Hamirpur,Deletion,April,32.0
1399,Hamirpur,Deletion,May,11.0
1400,Hamirpur,Modification,March,154.0
1401,Hamirpur,Modification,April,117.0
1402,Hamirpur,Modification,May,115.0
1403,Handia,Addition,March,186.0
1404,Handia,Addition,April,213.0
1405,Handia,Addition,May,167.0
1406,Handia,Deletion,March,17.0
1407,Handia,Deletion,April,67.0
1408,Handia,Deletion,May,2.0
1409,Handia,Modification,March,97.0
1410,Handia,Modification,April,121.0
1411,Handia,Modification,May,81.0
1412,Hapur,Addition,March,60.0
1413,Hapur,Addition,April,60.0
1414,Hapur,Addition,May,60.0
1415,Hapur,Deletion,March,77.0
1416,Hapur,Deletion,April,61.0
1417,Hapur,Deletion,May,30.0
1418,Hapur,Modification,March,53.0
1419,Hapur,Modification,April,27.0
1420,Hapur,Modification,May,38.0
1421,Harchandpur,Addition,March,125.0
1422,Harchandpur,Addition,April,67.0
1423,Harchandpur,Addition,May,54.0
1424,Harchandpur,Deletion,March,5.0
1425,Harchandpur,Deletion,April,14.0
1426,Harchandpur,Deletion,May,4.0
1427,Harchandpur,Modification,March,68.0
1428,Harchandpur,Modification,April,44.0
1429,Harchandpur,Modification,May,50.0
1430,Hardoi,Addition,March,128.0
1431,Hardoi,Addition,April,244.0
1432,Hardoi,Addition,May,191.0
1433,Hardoi,Deletion,March,15.0
1434,Hardoi,Deletion,April,34.0
1435,Hardoi,Deletion,May,25.0
1436,Hardoi,Modification,March,103.0
1437,Hardoi,Modification,April,141.0
1438,Hardoi,Modification,May,113.0
1439,Hargaon,Addition,March,167.0
1440,Hargaon,Addition,April,173.0
1441,Hargaon,Addition,May,72.0
1442,Hargaon,Deletion,March,4.0
1443,Hargaon,Deletion,April,12.0
1444,Hargaon,Deletion,May,3.0
1445,Hargaon,Modification,March,57.0
1446,Hargaon,Modification,April,112.0
1447,Hargaon,Modification,May,57.0
1448,Harraiya,Addition,March,210.0
1449,Harraiya,Addition,April,192.0
1450,Harraiya,Addition,May,171.0
1451,Harraiya,Deletion,March,24.0
1452,Harraiya,Deletion,April,45.0
