,establishment,type,month,value
147,Amroha,Deletion,March,26.0
148,Amroha,Deletion,April,27.0
149,Amroha,Deletion,May,15.0
150,Amroha,Modification,March,190.0
151,Amroha,Modification,April,194.0
152,Amroha,Modification,May,217.0
153,Anupshahr,Addition,March,329.0
154,Anupshahr,Addition,April,115.0
155,Anupshahr,Addition,May,104.0
156,Anupshahr,Deletion,March,50.0
157,Anupshahr,Deletion,April,78.0
158,Anupshahr,Deletion,May,12.0
159,Anupshahr,Modification,March,315.0
160,Anupshahr,Modification,April,107.0
161,Anupshahr,Modification,May,54.0
162,Aonla,Addition,March,101.0
163,Aonla,Addition,April,126.0
164,Aonla,Addition,May,139.0
165,Aonla,Deletion,March,51.0
166,Aonla,Deletion,April,37.0
167,Aonla,Deletion,May,7.0
168,Aonla,Modification,March,115.0
169,Aonla,Modification,April,79.0
170,Aonla,Modification,May,121.0
171,Arya Nagar,Addition,March,223.0
172,Arya Nagar,Addition,April,128.0
173,Arya Nagar,Addition,May,142.0
174,Arya Nagar,Deletion,March,46.0
175,Arya Nagar,Deletion,April,101.0
176,Arya Nagar,Deletion,May,23.0
177,Arya Nagar,Modification,March,174.0
178,Arya Nagar,Modification,April,122.0
179,Arya Nagar,Modification,May,143.0
180,Asmoli,Addition,March,185.0
181,Asmoli,Addition,April,64.0
182,Asmoli,Addition,May,89.0
183,Asmoli,Deletion,March,31.0
184,Asmoli,Deletion,April,18.0
185,Asmoli,Deletion,May,16.0
186,Asmoli,Modification,March,233.0
187,Asmoli,Modification,April,36.0
188,Asmoli,Modification,May,34.0
189,Atrauli,Addition,March,249.0
190,Atrauli,Addition,April,191.0
191,Atrauli,Addition,May,324.0
192,Atrauli,Deletion,March,17.0
193,Atrauli,Deletion,April,59.0
194,Atrauli,Deletion,May,67.0
195,Atrauli,Modification,March,119.0
196,Atrauli,Modification,April,74.0
197,Atrauli,Modification,May,111.0
198,Atrauliya,Addition,March,274.0
199,Atrauliya,Addition,April,233.0
200,Atrauliya,Addition,May,187.0
201,Atrauliya,Deletion,March,37.0
202,Atrauliya,Deletion,April,29.0
203,Atrauliya,Deletion,May,3.0
204,Atrauliya,Modification,March,207.0
205,Atrauliya,Modification,April,192.0
206,Atrauliya,Modification,May,169.0
207,Aurai,Addition,March,355.0
208,Aurai,Addition,April,309.0
209,Aurai,Addition,May,316.0
210,Aurai,Deletion,March,15.0
211,Aurai,Deletion,April,21.0
212,Aurai,Deletion,May,11.0
213,Aurai,Modification,March,159.0
214,Aurai,Modification,April,179.0
215,Aurai,Modification,May,162.0
216,Auraiya,Addition,March,92.0
217,Auraiya,Addition,April,77.0
218,Auraiya,Addition,May,70.0
219,Auraiya,Deletion,March,21.0
220,Auraiya,Deletion,April,50.0
221,Auraiya,Deletion,May,11.0
222,Auraiya,Modification,March,71.0
223,Auraiya,Modification,April,56.0
224,Auraiya,Modification,May,58.0
225,Ayah Shah,Addition,March,185.0
226,Ayah Shah,Addition,April,140.0
227,Ayah Shah,Addition,May,125.0
228,Ayah Shah,Deletion,March,10.0
229,Ayah Shah,Deletion,April,18.0
230,Ayah Shah,Deletion,May,26.0
231,Ayah Shah,Modification,March,43.0
232,Ayah Shah,Modification,April,40.0
233,Ayah Shah,Modification,May,60.0
234,Ayodhya,Addition,March,285.0
235,Ayodhya,Addition,April,261.0
236,Ayodhya,Addition,May,276.0
237,Ayodhya,Deletion,March,14.0
238,Ayodhya,Deletion,April,50.0
239,Ayodhya,Deletion,May,9.0
240,Ayodhya,Modification,March,160.0
241,Ayodhya,Modification,April,195.0
242,Ayodhya,Modification,May,165.0
243,Azamgarh,Addition,March,135.0
244,Azamgarh,Addition,April,140.0
245,Azamgarh,Addition,May,99.0
246,Azamgarh,Deletion,March,20.0
247,Azamgarh,Deletion,April,40.0
248,Azamgarh,Deletion,May,21.0
249,Azamgarh,Modification,March,154.0
250,Azamgarh,Modification,April,165.0
251,Azamgarh,Modification,May,142.0
252,Babaganj,Addition,March,317.0
253,Babaganj,Addition,April,196.0
254,Babaganj,Addition,May,245.0
255,Babaganj,Deletion,March,23.0
256,Babaganj,Deletion,April,32.0
257,Babaganj,Deletion,May,10.0
258,Babaganj,Modification,March,116.0
259,Babaganj,Modification,April,88.0
260,Babaganj,Modification,May,103.0
261,Baberu,Addition,March,146.0
262,Baberu,Addition,April,167.0
263,Baberu,Addition,May,167.0
264,Baberu,Deletion,March,21.0
265,Baberu,Deletion,April,42.0
266,Baberu,Deletion,May,7.0
267,Baberu,Modification,March,114.0
268,Baberu,Modification,April,123.0
269,Baberu,Modification,May,89.0
270,Babina,Addition,March,502.0
271,Babina,Addition,April,346.0
272,Babina,Addition,May,287.0
273,Babina,Deletion,March,22.0
274,Babina,Deletion,April,58.0
275,Babina,Deletion,May,21.0
276,Babina,Modification,March,219.0
277,Babina,Modification,April,146.0
278,Babina,Modification,May,152.0
279,Bachhrawan,Addition,March,96.0
280,Bachhrawan,Addition,April,61.0
281,Bachhrawan,Addition,May,157.0
282,Bachhrawan,Deletion,March,25.0
283,Bachhrawan,Deletion,April,24.0
284,Bachhrawan,Deletion,May,36.0
285,Bachhrawan,Modification,March,52.0
